Movie Report
-------------
FrameFrame #    Frame Bytes    Total Bytes    Page
  110         33294        3369648          110
  111         34239        3403887          111
  112         33470        3437357          112
  113         34541        3471898          113
  114         32980        3504878          114
  115         34237        3539115          115
  116         32434        3571549          116
  117         34229        3605778          117
  118         32899        3638677          118
  119         35811        3674488          119
  120         33719        3708207          120
  121         29923        3738130          121
  122         11835        3749965          122
  123         11390        3761355          123
  124          9555        3770910          124
  125          7133        3778043          125
  126          4484        3782527          126
  127          3144        3785671          127
  128          2648        3788319          128
  129          2797        3791116          129
  130          3317        3794433          130
  131          2922        3797355          131
  132          3386        3800741          132
  133          3608        3804349          133
  134          3921        3808270          134
  135          3995        3812265          135
  136          4113        3816378          136
  137          3962        3820340          137
  138          4482        3824822          138
  139          4466        3829288          139
  140          4699        3833987          140
  141          4699        3838686          141
  142          5197        3843883          142
  143          4895        3848778          143
  144          5126        3853904          144
  145          5670        3859574          145
  146          3497        3863071          146
  147          3547        3866618          147
  148          4112        3870730          148
  149          3720        3874450          149
  150          3859        3878309          150
  151          3885        3882194          151
  152          4159        3886353          152
  153          4164        3890517          153
  154          4630        3895147          154
  155          4686        3899833          155
  156          5094        3904927          156
  157          5207        3910134          157
  158          5518        3915652          158
  159          5351        3921003          159
  160          5403        3926406          160
  161          5468        3931874          161
  162          5739        3937613          162
  163          5931        3943544          163
  164          6394        3949938          164
  165          7574        3957512          165
  166         13912        3971424          166
  167         16508        3987932          167
  168         14196        4002128          168
  169         22459        4024587          169
  170         48537        4073124          170
  171         58488        4131612          171
  172         63801        4195413          172
  173         63443        4258856          173
  174         66793        4325649          174
  175         66937        4392586          175
  176         69390        4461976          176
  177         69561        4531537          177
  178         69890        4601427          178
  179         73217        4674644          179
  180         75440        4750084          180
  181         76985        4827069          181
  182         77363        4904432          182
  183         77836        4982268          183
  184         76729        5058997          184
  185         76978        5135975          185
  186         77077        5213052          186
  187         76288        5289340          187
  188         75474        5364814          188
  189         74466        5439280          189
  190         72945        5512225          190
  191         69517        5581742          191
  192         68092        5649834          192
  193         67493        5717327          193
  194         65370        5782697          194
  195         63259        5845956          195
  196         60414        5906370          196
  197         58220        5964590          197
  198         53754        6018344          198
  199         50946        6069290          199
  200         62068        6131358          200
  201         38527        6169885          201
  202         30551        6200436          202
  203         23902        6224338          203
  204         23594        6247932          204
  205         23311        6271243          205
  206         23079        6294322          206
  207         21870        6316192          207
  208         21305        6337497          208
  209         22412        6359909          209
  210         20639        6380548          210
  211         22562        6403110          211
  212         19383        6422493          212
  213         20638        6443131          213
  214         17713        6460844          214
  215         18951        6479795          215
  216         16802        6496597          216
  217         26179        6522776          217
  218         15811        6538587          218
  219         10832        6549419          219
  220          9475        6558894          220
  221          8724        6567618          221
  222          7199        6574817          222
  223          6568        6581385          223
  224          5738        6587123          224
  225          6237        6593360          225
  226          5632        6598992          226
  227          5465        6604457          227
  228          5137        6609594          228
  229          5532        6615126          229
  230          5268        6620394          230
  231          5669        6626063          231
  232          5122        6631185          232

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                           0             0

Page                       Symbol Bytes    Text Bytes
-----------------------    ------------    ----------
Symbol 2                         45             0

Video                       Compressed
------------------------    ----------
GTFINAL.asf                     6626620
